연번,도로명주소,상세위치
남영동-21,서울특별시 용산구 한강대로87길11(갈월동69-68),지하철 굴다리
남영동-22,서울특별시 용산구 한강대로84길11-29(남영동30-2),전주
남영동-23,서울특별시 용산구 한강대로388(동자동14-19 서울역12번출구),쓰레기 거점지역
남영동-24,서울특별시 용산구 후암로57길55(동자동35-14),쓰레기 거점지역
청파동-1,서울특별시 용산구 만리재로36길 9,인근 골목 쓰레기 수거 거점지역
청파동-2,서울특별시 용산구 청파로89길 35,"전신주 옆, 주거밀집지역"
청파동-3,서울특별시 용산구 청파로73길 91,좁은 언덕길 입구
청파동-4,서울특별시 용산구 청파로73길 62,주거밀집지역 골목길 및 계단길 초입
청파동-5,서울특별시 용산구 청파로 349,"전봇대, 대로변, 골목길 입구"
청파동-6,서울특별시 용산구 만리재로24길 19-4,주거밀집지역 골목길 및 계단길 초입
청파동-7,서울특별시 용산구 효창원로104길 25,"전봇대, 쓰레기 수거 거점지역, 골목길, 언덕길"
청파동-8,서울특별시 용산구 청파로73길 25,"쓰레기 수거 거점지역, 골목길"
청파동-9,서울특별시 용산구 청파로71길 23,빌라 밀집지역
청파동-10,서울특별시 용산구 효창원로94길 15,"쓰레기 수거 거점지역, 골목길"
청파동-11,서울특별시 용산구 효창원로94길 21,"쓰레기 수거 거점지역, 골목길"
청파동-12,서울특별시 용산구 효창원로94길 27,"쓰레기 수거 거점지역, 골목길"
청파동-13,서울특별시 용산구 청파로47나길 72,"쓰레기 수거 거점지역, 골목길"
청파동-14,서울특별시 용산구 효창원로104마길 11,"쓰레기 수거 거점지역, 골목길 초입, 주거밀집지역"
청파동-15,서울특별시 용산구 효창원로98길 19,"주거밀집지역, 골목길, 담장, 전신주"
청파동-16,서울특별시 용산구 효창원로86다길 15,"주거밀집지역, 골목길"
청파동-17,서울특별시 용산구 청파로47나길 32,"헌옷수거함, 주거밀집지역, 골목길"
청파동-18,서울특별시 용산구 청파로47나길 20,"헌옷수거함, 주거밀집지역, 골목길"
청파동-19,서울특별시 용산구 청파로4다길 4-4,대로변 골목길 초입
청파동-20,서울특별시 용산구 청파로43다길 29,대로변 골목길 초입
청파동-21,서울특별시 용산구 청파로43가길 10,"대로변 골목길 초입, 전봇대 옆 나대지"
청파동-22,서울특별시 용산구 청파로73길 78,인근 골목 쓰레기 수거 거점지역
청파동-23,서울특별시 용산구 청파로85길 33,인근 골목 쓰레기 수거 거점지역
청파동-24,서울특별시 용산구 청파로85길 68,인근 골목 쓰레기 수거 거점지역
청파동-25,서울특별시 용산구 청파로 373,인근 골목 쓰레기 수거 거점지역
청파동-26,서울특별시 용산구 효창원로104길 13,인근 골목 쓰레기 수거 거점지역
청파동-27,서울특별시 용산구 만리재로24길 19-4 ,인근 골목 쓰레기 수거 거점지역
청파동-28,서울특별시 용산구 효창원로104라길 24,주거밀집지역 골목길 및 계단길 초입
청파동-29,서울특별시 용산구 청파로71길 52,인근 골목 쓰레기 수거 거점지역
청파동-30,서울특별시 용산구 청파로71길 29-12 ,인근 골목 쓰레기 수거 거점지역
청파동-31,서울특별시 용산구 청파로71나길 23,인근 골목 쓰레기 수거 거점지역
청파동-32,서울특별시 용산구 청파로57길 12-8,"주거밀집지역, 골목길"
청파동-33,서울특별시 용산구 청파로73다길 2,"대로변 골목길 초입, 전봇대 옆 "
원효1동-1,서울특별시 용산구 원효로56길 38,상업지역
원효1동-2,서울특별시 용산구 원효로77길 30,쓰레기수거 거점지역
원효1동-3,서울특별시 용산구 원효로97길 3,골목 나대지
원효1동-4,서울특별시 용산구 원효로89길 23,골목 나대지
원효1동-5,서울특별시 용산구 백범로77길 52,골목 나대지
원효1동-6,서울특별시 용산구 원효로77길 32,골목 나대지
원효1동-7,서울특별시 용산구 원효로 227,쓰레기수거 거점지역
원효1동-8,서울특별시 용산구 원효로71길 11,골목 나대지
원효1동-9,서울특별시 용산구 원효로 197-2,대로변
원효1동-10,서울특별시 용산구 원효로 189-3,대로변
원효1동-11,서울특별시 용산구 원효로53길 9,골목 나대지
원효1동-12,서울특별시 용산구 청파로139-9,골목 나대지
원효1동-13,서울특별시 용산구 새창로45길 49,골목 나대지
원효1동-14,서울특별시 용산구 백범로77길 52,이면도로 나대지
원효1동-15,서울특별시 용산구 문배동 24-35,대로변
원효1동-16,서울특별시 용산구 새창로45길 53,이면도로 나대지
원효1동-17,서울특별시 용산구 새창로45길 64,이면도로 나대지
